stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.277974,61522,-123.127034,11542,,,,Southbound Howe St @ Davie St,0,BUS ZN
49.248581,53331,-122.843968,11543,,,,Northbound Laurentian Cres @ Austin Ave,0,BUS ZN
49.170215,61521,-123.125653,11540,,,,Westbound Westminster Hwy @ Garden City Rd,0,BUS ZN
49.219164,51114,-123.150433,11541,,,,Southbound West Blvd @ W 57 Ave,0,BUS ZN
49.452388,61528,-123.236624,11546,,,,Northbound Hwy 99 Onramp @ Kelvin Grove Way,0,BUS ZN
49.38635,61527,-123.25838,11547,,,,Northbound Horseshoe Bay Dr @ Pasco Rd,0,BUS ZN
49.157771,61526,-123.136495,11544,,,,Northbound No. 3 Rd @ Jones Rd,0,BUS ZN
49.027511,56113,-122.803368,11545,,,,Eastbound Thrift Ave @ Foster St,0,BUS ZN
49.458538,61531,-123.236819,11548,,,,Southbound Isleview Place @ Lions Bay Ave,0,BUS ZN
49.459217,61530,-123.235617,11549,,,,Northbound Crosscreek Rd @ Oceanview Rd,0,BUS ZN
49.199727,55933,-122.949615,5989,,,,22nd Street Station @ Bay 6,0,BUS ZN
49.198895,55926,-122.779318,5982,,,,Westbound 108 Ave @ 160 St,0,BUS ZN
49.198893,59772,-122.783259,5983,,,,Westbound 108 Ave @ 158 St,0,BUS ZN
49.198899,55924,-122.768262,5980,,,,Westbound 108 Ave @ 164 St,0,BUS ZN
49.19888,55925,-122.773703,5981,,,,Westbound 108 Ave @ 162 St,0,BUS ZN
49.136348,56426,-123.181233,6487,,,,Northbound No. 1 Rd @ Fundy Gate,0,BUS ZN
49.1265,56731,-123.189251,6796,,,,Westbound Chatham St @ 5th Ave,0,BUS ZN
49.126844,56732,-123.191741,6797,,,,Northbound 7th Ave @ Chatham St,0,BUS ZN
49.170264,56729,-123.107225,6794,,,,Westbound Westminster Hwy @ 10500 Block,0,BUS ZN
49.170277,56730,-123.114676,6795,,,,Westbound Westminster Hwy @ No. 4 Rd,0,BUS ZN
49.170374,56727,-123.092768,6792,,,,Westbound Westminster Hwy @ No. 5 Rd,0,BUS ZN
49.170249,56728,-123.100461,6793,,,,Westbound Westminster Hwy @ 11000 Block,0,BUS ZN
49.165042,56725,-123.091576,6790,,,,Northbound No. 5 Rd @ 6400 Block,0,BUS ZN
49.168487,56726,-123.091555,6791,,,,Northbound No. 5 Rd @ 6100 Block,0,BUS ZN
49.128624,56733,-123.191727,6798,,,,Northbound 7th Ave @ Richmond St,0,BUS ZN
49.131834,56734,-123.191727,6799,,,,Northbound 7th Ave @ Regent St,0,BUS ZN
49.266827,50268,-123.241849,271,,,,Eastbound University Blvd @ Allison Rd,0,BUS ZN
49.265327,50270,-123.235217,273,,,,Eastbound University Blvd @ 5300 Block,0,BUS ZN
49.263486,50271,-123.229095,274,,,,Eastbound University Blvd @ 5100 Block,0,BUS ZN
49.264289,50272,-123.215067,275,,,,Northbound Blanca St @ W 10 Ave,0,BUS ZN
49.265243,50273,-123.21585,276,,,,Blanca Loop @ Bay 1,0,BUS ZN
49.263836,50274,-123.214641,277,,,,Eastbound W 10 Ave @ Blanca St,0,BUS ZN
49.26381,50275,-123.211737,278,,,,Eastbound W 10 Ave @ Tolmie St,0,BUS ZN
49.263764,50276,-123.208525,279,,,,Eastbound W 10 Ave @ Sasamat St,0,BUS ZN
49.268018,61750,-122.796872,12018,,,,Eastbound Dewdney Trunk Rd @ Lougheed Hwy,0,BUS ZN
49.207179,52126,-123.123861,2146,,,,Eastbound SW Marine Dr @ Heather St,0,BUS ZN
49.172878,61897,-123.154608,12015,,,,Westbound River Rd @ 6100 Block,0,BUS ZN
49.227799,61848,-122.688454,12016,,,,Northbound 192A St @ Davison Rd,0,BUS ZN
49.263228,61896,-123.256272,12011,,,,Southbound Lower Mall @ University Blvd,0,BUS ZN
49.268113,61424,-123.258499,12010,,,,Southbound West Mall @ NW Marine Dr,0,BUS ZN
49.25836,61833,-123.244207,12013,,,,Northbound East Mall @ Eagles Dr,0,BUS ZN
49.251694,61893,-123.237733,12012,,,,Westbound Ross Dr @ Birney Ave,0,BUS ZN
49.230625,59031,-122.820044,9528,,,,Westbound Shuswap Ave @ North Bend St,0,BUS ZN
49.299226,58818,-122.779039,9259,,,,Westbound Robson Dr @ Kenney St,0,BUS ZN
49.219666,60776,-122.665517,10703,,,,Northbound 200 St @ 119A Ave,0,BUS ZN
49.110713,60778,-122.733614,10702,,,,Northbound 176A St @ 60 Ave,0,BUS ZN
49.298479,58840,-122.80902,9254,,,,Southbound Parkway Blvd @ Tanglewood Lane,0,BUS ZN
49.297199,58838,-122.809458,9255,,,,Southbound Parkway Blvd @ Panorama Dr,0,BUS ZN
49.119346,55939,-122.896549,10707,,,,Eastbound 64 Ave @ Wade Rd,0,BUS ZN
49.300959,58841,-122.807177,9253,,,,Southbound Parkway Blvd @ Salal Cres South,0,BUS ZN
49.313679,58844,-122.799063,9250,,,,Southbound Parkway Blvd @ Turnberry Lane,0,BUS ZN
49.141079,60566,-123.167982,10704,,,,Westbound Williams Rd @ 5100 Block,0,BUS ZN
49.249037,53481,-122.858501,3519,,,,Westbound Austin Ave @ Gatensbury St,0,BUS ZN
49.24851,53480,-122.852517,3518,,,,Southbound Schoolhouse St @ Austin Ave,0,BUS ZN
49.249139,53475,-122.824891,3513,,,,Westbound Austin Ave @ Hickey St,0,BUS ZN
49.247724,53474,-122.824345,3512,,,,Northbound Hickey Dr @ Latimer Ave,0,BUS ZN
49.245673,53473,-122.82432,3511,,,,Northbound Hickey Dr @ Leduc Ave,0,BUS ZN
49.243607,53472,-122.821857,3510,,,,Westbound Hickey Dr @ Balfour Dr,0,BUS ZN
49.249053,53479,-122.844484,3517,,,,Westbound Austin Ave @ Laurentian Cres,0,BUS ZN
49.249076,53478,-122.841516,3516,,,,Westbound Austin Ave @ Linton St,0,BUS ZN
49.249117,53477,-122.836063,3515,,,,Westbound Austin Ave @ Hillcrest St,0,BUS ZN
49.24913,53476,-122.828378,3514,,,,Westbound Austin Ave @ 2300 Block,0,BUS ZN
