YEAR;CULTURAL_SPACE_NAME;WEBSITE;TYPE;PRIMARY_USE;ADDRESS;LOCAL_AREA;OWNERSHIP;SQUARE_FEET;NUMBER_OF_SEATS;ACTIVE_SPACE;Geom;geo_point_2d
2017;15th Field Artillery Regiment Museum and Archives;www.memorybc.ca/museum-of-15th-field-artillery-regiment;Museum/Gallery;Museum/Gallery;2025 W 11th Av, Vancouver, BC, V6J 2C7;Kitsilano;Privately Owned;;;Yes;"{""coordinates"": [-123.151123, 49.261938], ""type"": ""Point""}";49.261938, -123.151123
2017;Acme Studios;https://www.facebook.com/ACMEstudiobuilding;Studio/Rehearsal;Artist Studio;112 E Hastings St, Vancouver, BC, V6A 4J1;Downtown;Privately Owned;18000;;Yes;"{""coordinates"": [-123.101791, 49.281101], ""type"": ""Point""}";49.281101, -123.101791
2017;AHVA Gallery;http://gallery.ahva.ubc.ca/about/;Museum/Gallery;Museum/Gallery;6398 University Blvd, Vancouver, BC,;UBC;Other;1990;;Yes;"{""coordinates"": [-123.2549451, 49.2639124], ""type"": ""Point""}";49.2639124, -123.2549451
2017;Al Mozaico Flamenco Dance Academy;http://www.mozaicoflamenco.com/;Educational;Educational Institution;828 E Hastings St, Vancouver, BC, V6A 1R6;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.0864434, 49.2810234], ""type"": ""Point""}";49.2810234, -123.0864434
2017;Alternative Creations Studio;http://www.arthives.org/arthives/alternative-creations-studio;Studio/Rehearsal;Artist Studio;1387 Venables St, Vancouver, BC, V5L 2G1;Strathcona;Privately Owned;;;Yes;"{""coordinates"": [-123.075559, 49.277071], ""type"": ""Point""}";49.277071, -123.075559
2017;Anza Club (Australia-New Zealand Association);http://www.anzaclub.org;Theatre/Performance;Performance Space;3 W 8th Av, Vancouver, BC, V5Y 1M8;Mount Pleasant;Non-Profit;2885;135;Yes;"{""coordinates"": [-123.105108, 49.263974], ""type"": ""Point""}";49.263974, -123.105108
2017;Architectural Institute of BC Gallery;www.aibc.ca;Museum/Gallery;Museum/Gallery;440 Cambie St, Vancouver, BC, V6B 2N5;Downtown;Non-Profit;250;;Yes;"{""coordinates"": [-123.1095005, 49.2817199], ""type"": ""Point""}";49.2817199, -123.1095005
2017;Art Beatus;www.artbeatus.com;Museum/Gallery;Museum/Gallery;808 Nelson St, Vancouver, BC, V6Z 2H2;Downtown;Privately Owned;3700;;Yes;"{""coordinates"": [-123.1249139, 49.2800409], ""type"": ""Point""}";49.2800409, -123.1249139
2017;Art Works Gallery;http://artworksbc.com/;Museum/Gallery;Museum/Gallery;225 Smithe St, Vancouver, BC, V6B 4X7;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1165781, 49.2775077], ""type"": ""Point""}";49.2775077, -123.1165781
2017;Arts Club Theatre - Stanley Industrial Alliance Stage;http://www.artsclub.com;Theatre/Performance;Theatre;2750 Granville St, Vancouver, BC, V6H 3J3;Fairview;Non-Profit;16500;650;Yes;"{""coordinates"": [-123.1382118, 49.261346], ""type"": ""Point""}";49.261346, -123.1382118
