,CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL.1,C3_COUNT_WOMEN+,SYMBOL.2,C10_RATE_TOTAL,SYMBOL.3,C11_RATE_MEN+,SYMBOL.4,C12_RATE_WOMEN+,SYMBOL.5
394650,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,1,"Population, 2021",1.0,18612.0,,,...,,...,,...,,...,,...
394651,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,2,"Population, 2016",1.0,16133.0,,,...,,...,,...,,...,,...
394652,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,3,"Population percentage change, 2016 to 2021",,15.4,,,...,,...,15.4,,,...,,...
394653,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,4,Total private dwellings,2.0,9201.0,,,...,,...,,...,,...,,...
394654,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,5,Private dwellings occupied by usual residents,3.0,7682.0,,,...,,...,,...,,...,,...
394655,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,6,Population density per square kilometre,,22.8,,,...,,...,22.8,,,...,,...
394656,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,7,Land area in square kilometres,,815.21,,,...,,...,,...,,...,,...
394657,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,8,Total - Age groups of the population - 100% data,,18610.0,,8795.0,,9815.0,,100.0,,100.0,,100.0,
394658,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,9,  0 to 14 years,,2730.0,,1410.0,,1315.0,,14.7,,16.0,,13.4,
394659,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,10,    0 to 4 years,,820.0,,430.0,,390.0,,4.4,,4.9,,4.0,
394660,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,11,    5 to 9 years,,940.0,,475.0,,460.0,,5.1,,5.4,,4.7,
394661,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,12,    10 to 14 years,,970.0,,505.0,,465.0,,5.2,,5.7,,4.7,
394662,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,13,  15 to 64 years,,13735.0,,6370.0,,7370.0,,73.8,,72.4,,75.1,
394663,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,14,    15 to 19 years,,1695.0,,810.0,,885.0,,9.1,,9.2,,9.0,
394664,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,15,    20 to 24 years,,2930.0,,1390.0,,1545.0,,15.7,,15.8,,15.7,
394665,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,16,    25 to 29 years,,1540.0,,770.0,,765.0,,8.3,,8.8,,7.8,
394666,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,17,    30 to 34 years,,1310.0,,645.0,,665.0,,7.0,,7.3,,6.8,
394667,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,18,    35 to 39 years,,1240.0,,595.0,,645.0,,6.7,,6.8,,6.6,
394668,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,19,    40 to 44 years,,1080.0,,465.0,,615.0,,5.8,,5.3,,6.3,
394669,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,20,    45 to 49 years,,1100.0,,440.0,,655.0,,5.9,,5.0,,6.7,
394670,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,21,    50 to 54 years,,1210.0,,500.0,,710.0,,6.5,,5.7,,7.2,
394671,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,22,    55 to 59 years,,1040.0,,495.0,,550.0,,5.6,,5.6,,5.6,
394672,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,23,    60 to 64 years,,590.0,,265.0,,330.0,,3.2,,3.0,,3.4,
394673,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,24,  65 years and over,,2145.0,,1015.0,,1130.0,,11.5,,11.5,,11.5,
394674,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,25,    65 to 69 years,,510.0,,265.0,,245.0,,2.7,,3.0,,2.5,
394675,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,26,    70 to 74 years,,505.0,,250.0,,255.0,,2.7,,2.8,,2.6,
394676,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,27,    75 to 79 years,,335.0,,165.0,,170.0,,1.8,,1.9,,1.7,
394677,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,28,    80 to 84 years,,315.0,,140.0,,175.0,,1.7,,1.6,,1.8,
394678,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,29,    85 years and over,,485.0,,195.0,,285.0,,2.6,,2.2,,2.9,
394679,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,30,      85 to 89 years,,240.0,,105.0,,135.0,,1.3,,1.2,,1.4,
394680,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,31,      90 to 94 years,,145.0,,60.0,,90.0,,0.8,,0.7,,0.9,
394681,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,32,      95 to 99 years,,90.0,,30.0,,55.0,,0.5,,0.3,,0.6,
394682,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,33,      100 years and over,,10.0,,0.0,,5.0,,0.1,,0.0,,0.1,
394683,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,34,Total - Distribution (%) of the population by broad age groups - 100% data,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,
394684,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,35,  0 to 14 years,,14.7,,16.0,,13.4,,14.7,,16.0,,13.4,
394685,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,36,  15 to 64 years,,73.8,,72.4,,75.1,,73.8,,72.4,,75.1,
394686,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,37,  65 years and over,,11.5,,11.5,,11.5,,11.5,,11.5,,11.5,
394687,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,38,    85 years and over,,2.6,,2.2,,2.9,,2.6,,2.2,,2.9,
394688,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,39,Average age of the population,,36.2,,35.3,,37.0,,36.2,,35.3,,37.0,
394689,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,40,Median age of the population,,31.4,,30.2,,32.8,,31.4,,30.2,,32.8,
394690,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,41,Total - Occupied private dwellings by structural type of dwelling - 100% data,,7680.0,,,...,,...,100.0,,,...,,...
394691,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,42,  Single-detached house,,495.0,,,...,,...,6.4,,,...,,...
394692,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,43,  Semi-detached house,,65.0,,,...,,...,0.8,,,...,,...
394693,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,44,  Row house,,570.0,,,...,,...,7.4,,,...,,...
394694,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,45,  Apartment or flat in a duplex,,55.0,,,...,,...,0.7,,,...,,...
394695,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,46,  Apartment in a building that has fewer than five storeys,,2495.0,,,...,,...,32.5,,,...,,...
394696,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,47,  Apartment in a building that has five or more storeys,,3990.0,,,...,,...,52.0,,,...,,...
394697,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,48,  Other single-attached house,,0.0,,,...,,...,0.0,,,...,,...
394698,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,49,  Movable dwelling,4.0,10.0,,,...,,...,0.1,,,...,,...
394699,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,50,Total - Private households by household size - 100% data,,7685.0,,,...,,...,100.0,,,...,,...
394700,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,51,  1 person,,2520.0,,,...,,...,32.8,,,...,,...
394701,2021,2021A00055915020,5915020,Census subdivision,"Metro Vancouver A, Regional district electoral area (RDA)",6.8,8.5,0,52,  2 persons,,2550.0,,,...,,...,33.2,,,...,,...
