title,url,price,latitude,longitude
"2BD 1BA, Bike Storage, Quartz countertops",https://vancouver.craigslist.org/van/apa/d/vancouver-2bd-1ba-bike-storage-quartz/7607976485.html,"3,550",49.2833,-123.1298
GRAND OPENING Pet friendly Studios at 55One 551 Emerson St,https://vancouver.craigslist.org/pml/apa/d/coquitlam-grand-opening-pet-friendly/7609653829.html,"1,995",49.260632,-122.888238
Coquitlam Center one bedroom suite newly renovated,https://vancouver.craigslist.org/pml/apa/d/coquitlam-coquitlam-center-one-bedroom/7606924146.html,"1,800",49.269881,-122.794747
South Surrey Suite for Rent by Hugh & McKinnon (PID 3-2311),https://vancouver.craigslist.org/rds/apa/d/surrey-south-surrey-suite-for-rent-by/7609657882.html,"2,300",49.027829,-122.747154
Newly Renovated 2 Bedrooms & 1 Bathroom,https://vancouver.craigslist.org/van/apa/d/vancouver-newly-renovated-bedrooms/7608577510.html,"2,100",49.2397,-123.0407
Prosprise Realty-Luxury 2 bed 2 bath Condo in downtown Ref:1607,https://vancouver.craigslist.org/van/apa/d/vancouver-prosprise-realty-luxury-bed/7606983998.html,"4,800",49.275714,-123.13038
Prosprise Realty-Luxury Condo In Vancouver! Ref# 14031499,https://vancouver.craigslist.org/bnc/apa/d/vancouver-prosprise-realty-luxury-condo/7601156950.html,"5,200",49.290039,-123.129019
Lower Level West Vancouver Ambleside newly renovated House for rent,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-lower-level-west/7609647853.html,"3,600",49.3322,-123.1417
Prosprise Realty-Upper 5 bed 4.5 bath house in Burke Mount Ref: 1318GU,https://vancouver.craigslist.org/pml/apa/d/coquitlam-prosprise-realty-upper-bed-45/7603262861.html,"4,800",49.292974,-122.75988
Prosprise realty- Luxury Furnished Townhouse for rent! Ref:5532O,https://vancouver.craigslist.org/rds/apa/d/vancouver-prosprise-realty-luxury/7603311797.html,"4,800",49.2344,-123.1451
Prosprise Realty- Spacious 1 Bed 1 bath Condo in Surrey Ref:1907-13399,https://vancouver.craigslist.org/rds/apa/d/surrey-inner-northwest-prosprise-realty/7604031110.html,"1,900",49.1894,-122.8454
Downtown Coal Harbour 1B + 1Den (2nd Brd) + Balcony & in-suite storage,https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-coal-harbour-1b-1den/7606566352.html,"3,680",49.287905,-123.123307
Open House at Brand New 55One! Pet friendly 2 bedroom apartments,https://vancouver.craigslist.org/pml/apa/d/coquitlam-open-house-at-brand-new-55one/7609656656.html,"2,995",49.260798,-122.887874
3 Bedroom + 2 Bath + Den in River District! **6 Months Free Parking!**,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bath-den-in-river/7599206918.html,"3,725",49.204643,-123.033791
2 Bed + 2 Bath + Den in River District! **6 months free parking!!**,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-den-in-river/7607627356.html,"2,900",49.205065,-123.036039
"Private balconies, Closet organizers, Shaker cabinets",https://vancouver.craigslist.org/pml/apa/d/port-moody-private-balconies-closet/7609656321.html,"2,850",49.3231,-122.8626
NEW 10ft Ceiling 1 Bed+Den concrete condo at Suter Brook Village,https://vancouver.craigslist.org/pml/apa/d/port-moody-new-10ft-ceiling-bedden/7609646677.html,"2,500",49.280482,-122.829017
A good suite very close to Metrotown,https://vancouver.craigslist.org/bnc/apa/d/burnaby-good-suite-very-close-to/7609649943.html,"1,400",49.224548,-122.982446
2 BEDROOM private entry near Skytrain Langara Oakridge,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-private-entry-near/7608875062.html,"3,000",49.225249,-123.118458
One bedroom and den  over 737sq ft in,https://vancouver.craigslist.org/bnc/apa/d/burnaby-one-bedroom-and-den-over-737sq/7609655096.html,"2,100",49.252567,-122.898619
55One Grand Opening April 15! Pet friendly 1 bedroom apartments,https://vancouver.craigslist.org/pml/apa/d/coquitlam-55one-grand-opening-april-15/7609654884.html,"2,450",49.260898,-122.887895
3 bedroom Rancher for rent,https://vancouver.craigslist.org/rds/apa/d/surrey-bedroom-rancher-for-rent/7609654530.html,"3,000",48.997257,-122.779128
1 bedroom suite ***Furnished***,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-suite-furnished/7604765853.html,"1,395",49.286688,-123.01034
3-4 BED/2 BATH HOUSE IN BELCARRA WITH OWN DOCK & VIEWS,https://vancouver.craigslist.org/pml/apa/d/belcarra-4-bed-bath-house-in-belcarra/7609653205.html,"4,750",49.32252,-122.906474
