Postal code,LONG,LAT
V6L3C7,-123.154007,49.247557
V6L1B1,-123.163403,49.256279
V6L2H4,-123.161457,49.246284
V6N2Y9,-123.195275,49.237532
V6S1X3,-123.192277,49.245159
V6L2C3,-123.177198,49.243197
V6N2Y6,-123.192327,49.23752
V6S1X8,-123.183601,49.244355
V6N2K9,-123.1770995,49.240609250000006
V6J3Z8,-123.15365066666668,49.27250133333333
V6L2V8,-123.165558,49.246301
V6L1V9,-123.174314,49.24906
V6L1A6,-123.156772,49.256172
V6L2B7,-123.171607,49.243169
V6N3C5,-123.1680825,49.234815499999996
V6M4A8,-123.159955,49.230006
V6L1M7,-123.168973,49.25289
V6L1M5,-123.166511,49.252866
V6L1W9,-123.169478,49.246956
V6L1S4,-123.16958,49.25025
V6L1M4,-123.166517,49.252686
V6L1Y6,-123.177166,49.24605
V6N2J2,-123.164055,49.241228
V6M2B7,-123.157044,49.233709
V6M4B9,-123.161237,49.233743
V6M1W6,-123.158127,49.235499
V6Z2Y7,-123.125688,49.279934
V6M1J1,-123.153184,49.240141
V6N1V2,-123.184306,49.231796
V6N1K8,-123.175914,49.239957
V6N2J8,-123.171622,49.24127
V6N2A4,-123.190778,49.233731
V6A0C6,-123.101361,49.27119
V6M2P6,-123.1572,49.228228
V6M2B1,-123.150678,49.233409
V6P6S1,-123.14957949999999,49.2080845
V6N3X2,-123.1783,49.221368
V6P2J2,-123.152256,49.214252
V6E1H8,-123.12714,49.281778
V6N1B1,-123.164225,49.230071
V5Z4G3,-123.117337,49.267348
V5Y0E2,-123.107981,49.270341
V5Z4N5,-123.115347,49.258654
V6J1H2,-123.13933800000001,49.2695615
V5Z4L7,-123.117632,49.268543
V6N3R1,-123.183785,49.228462
V5Z1B6,-123.12461666666667,49.265543666666666
V6H1A7,-123.135679,49.266061
V6H2X5,-123.129734,49.247725
V6H1S5,-123.137439,49.257724
V6H2P3,-123.129032,49.2627735
V6H3W3,-123.133813,49.264848
V6J2A2,-123.142263,49.262786
V6H1K6,-123.132618,49.261698
V6G1K8,-123.138436,49.290512
V6J4R8,-123.139703,49.264432
V6H1J7,-123.134945,49.262664
V6H1B8,-123.13486,49.265375
V6H1M2,-123.135546,49.260835
V6H2J8,-123.126711,49.264745
V6P4M5,-123.134492,49.207753
V6H2S1,-123.131436,49.264817
V5Z4A6,-123.117545,49.259136
V5Z1M8,-123.118788,49.26038
V6M2V5,-123.12813349999999,49.236290499999996
V6H2B1,-123.135613,49.248189
V5X3K7,-123.102203,49.213929
V6M1X9,-123.144025,49.234493
V6J2S7,-123.149811,49.25253
V5Z4G8,-123.116681,49.258859
V5Z3H2,-123.119415,49.236427
V5Y3H1,-123.10944,49.236468
V6H1S7,-123.128747,49.257135
V5Z1V3,-123.123241,49.256261
V5N1B1,-123.06869,49.269478
V6J2X4,-123.143155,49.247382
V6M3K1,-123.144026,49.24093
V5Y1Z6,-123.108452,49.255632
V6H2A3,-123.137892,49.249573
V6H2L3,-123.127369,49.256679
V6H3A2,-123.13285,49.242326
V5Z1Z4,-123.11723,49.25162
V5Y3S1,-123.11242,49.255304
V5R2B1,-123.054121,49.235139
V5M2C3,-123.048303,49.260371
V5Z1Y3,-123.123357,49.253542
V5Z4R9,-123.119999,49.256543
V5Y2H3,-123.111385,49.249952
V6P5B5,-123.141994,49.221376
V6P5B6,-123.141719,49.221369
V5Y0E3,-123.107981,49.270341
V5T4M8,-123.081261,49.261933
V6P1W1,-123.131447,49.218142
V5Y2N9,-123.106784,49.235453
V6M2A8,-123.130004,49.232978
V6M3L9,-123.14627,49.231643
V6P5C5,-123.143955,49.218992
V6P1S5,-123.131301,49.219148
V6P1A9,-123.131268,49.225636
V6P5G7,-123.146489,49.225958
V6J0E1,-123.150697,49.263305
V5Y2R6,-123.106823,49.23383
V6M2R9,-123.142607,49.227097
V6M2R4,-123.138624,49.227013
V5Y2W2,-123.111932,49.229752
V6P4R5,-123.136445,49.204211
V5Y2Y1,-123.109548,49.227807
V6P3T4,-123.12534,49.225154
V6P6Z1,-123.134627,49.203766
V5Z2R2,-123.125114,49.229106
V6P3P6,-123.123581,49.222355
V5Z3G9,-123.117908,49.227999
V6P3A1,-123.120195,49.207286
V6P4T7,-123.137924,49.20972
V5T3X7,-123.085077,49.263845
V6P2B8,-123.125583,49.215639
V6P2W3,-123.1214565,49.209272999999996
V6P2H8,-123.145271,49.213996
V6P2H1,-123.122094,49.213407
V5T3B1,-123.103047,49.25798
V6P2R8,-123.14202,49.211488
V5T3L4,-123.098252,49.257913
V5R4G7,-123.031006,49.239291
V5M1Y9,-123.045673,49.262065
V5X2R7,-123.113807,49.211399
V5T4K5,-123.097935,49.264465
V6A3M3,-123.081189,49.279587
V6J5M9,-123.142376,49.259426
V6A2B9,-123.090676,49.277408
V5T4C3,-123.081835,49.256579
V5T4C6,-123.079327,49.261214
V5V2G6,-123.104125,49.248146
V5T1T4,-123.08813,49.263323
V5T4R8,-123.097348,49.267168
V5T4H6,-123.091967,49.266071
V6A3Y6,-123.086926,49.2778475
V5T4H2,-123.091995,49.265165
V5M4R7,-123.05485,49.264324
V5Y1M2,-123.111865,49.264887
V5L1P6,-123.069325,49.282264
V5Y1J4,-123.110134,49.266499
V5T2K3,-123.100801,49.259396
V5N1C9,-123.070633,49.268618
V5T2N7,-123.084336,49.257957
V5T2E8,-123.084309,49.260668
V5Y2T8,-123.114702,49.231494
V5T2L4,-123.086304,49.258889
V5Y3G6,-123.109487,49.258129
V5V1E9,-123.095187,49.254797
V5L4X7,-123.075821,49.271848
V5T1Y8,-123.079505,49.262499
V5T2C3,-123.099337,49.261003
V5L4W7,-123.057121,49.289226
V5N1B4,-123.064788,49.269474
V5X1R9,-123.089352,49.219006
V5L2A3,-123.062705,49.279038
V5L2T8,-123.066657,49.27311
V5L2Y5,-123.070579,49.271332
V5T4S8,-123.099535,49.263582
V5L2A8,-123.075676,49.278455
V5N5E1,-123.056729,49.264464
V5L1G2,-123.058729,49.285799
V5L4H2,-123.065608,49.270875
V5N4E8,-123.068161,49.253331
V5L1H8,-123.066924,49.284615
V5L3V3,-123.071706,49.270058
V5N4Y1,-123.058143,49.255931
V5L3C1,-123.058962,49.270495
V5N1R8,-123.074589,49.264108
V5L2H2,-123.070941,49.276589
V5N1S1,-123.067812,49.26425
V5N1H9,-123.060963,49.267811
V5L2R7,-123.066622,49.27401
V5N2V6,-123.063879,49.248409
V5L2X6,-123.0632115,49.2736765
V5N1R3,-123.059082,49.265085
V5N1X3,-123.075571,49.261314
V5N3L2,-123.075862,49.253047
V5N1V3,-123.062998,49.263308
V5N2C9,-123.071789,49.257863
V5V1M3,-123.097591,49.252845
V5V3E5,-123.10270875,49.249114
V5N2G8,-123.0749335,49.255319
V5P2A7,-123.070918,49.218893
V5N2A3,-123.071771,49.259507
V5R6B7,-123.032563,49.238972
V5V4R9,-123.082891,49.243568
V5V2L1,-123.086808,49.246667
V5V1Y8,-123.080927,49.250049
V5V2M4,-123.100927,49.245628
V5V2C3,-123.100075,49.248668
V5P3L3,-123.071883,49.214999
V5V3L9,-123.102442,49.243907
V5V1V5,-123.088889,49.251084
V5W2W6,-123.099365,49.227077
V5W2S8,-123.1013475,49.232443
V5W3A2,-123.090826,49.22782
V5W3C2,-123.089457,49.228252
V5W3C4,-123.089512,49.226399
V5W2Z6,-123.090731,49.230543
V5V4J8,-123.087931,49.246039
V5W1Z6,-123.100501,49.228366
V5X4E9,-123.07936366666667,49.21676566666667
V5W2Y3,-123.097635,49.226111
V5V3V7,-123.099025,49.246619
V5V3W6,-123.098649,49.241345
V5X1H8,-123.102837,49.221877
V5X3R4,-123.097963,49.215351
V5W1K2,-123.10053,49.235311
V5X2G9,-123.084422,49.213735
V5W1Z9,-123.095711,49.228281
V5N4N7,-123.06534,49.244606
V5W1H3,-123.10052,49.236406
V5W1H8,-123.09559,49.236308
V5W1H4,-123.100529,49.236226
V5W2M4,-123.10341025,49.23423825
V5W1H5,-123.098226,49.236359
V5P3Y7,-123.065999,49.221527
V5X1R1,-123.102927,49.219234
V5X1L3,-123.095927,49.221034
V5X1A7,-123.098569,49.224748
V5X1B8,-123.084074,49.22435
V5X1W4,-123.089402,49.217474
V5P1Z5,-123.072659,49.219876
V5X4R8,-123.097805,49.220525
V5X1S4,-123.105087,49.218456
V5X1G5,-123.1028,49.222955
V5X1K6,-123.102868,49.220986
V5P1S5,-123.075235,49.22518
V5P1Z1,-123.075803,49.219654
V5X1X7,-123.104064,49.216868
V5X2A4,-123.089474,49.215521
V5S2J4,-123.047837,49.207479
V5X2N6,-123.084949,49.212068
V5P2H4,-123.075546,49.215554
V5X2E9,-123.099957,49.214233
