title,url,price,latitude,longitude
"2BD 1BA, Bike Storage, Quartz countertops",https://vancouver.craigslist.org/van/apa/d/vancouver-2bd-1ba-bike-storage-quartz/7607976485.html,"3,550",49.283300,-123.129800
GRAND OPENING Pet friendly Studios at 55One 551 Emerson St,https://vancouver.craigslist.org/pml/apa/d/coquitlam-grand-opening-pet-friendly/7609653829.html,"1,995",49.260632,-122.888238
Coquitlam Center one bedroom suite newly renovated,https://vancouver.craigslist.org/pml/apa/d/coquitlam-coquitlam-center-one-bedroom/7606924146.html,"1,800",49.269881,-122.794747
South Surrey Suite for Rent by Hugh & McKinnon (PID 3-2311),https://vancouver.craigslist.org/rds/apa/d/surrey-south-surrey-suite-for-rent-by/7609657882.html,"2,300",49.027829,-122.747154
Newly Renovated 2 Bedrooms & 1 Bathroom,https://vancouver.craigslist.org/van/apa/d/vancouver-newly-renovated-bedrooms/7608577510.html,"2,100",49.239700,-123.040700
Prosprise Realty-Luxury 2 bed 2 bath Condo in downtown Ref:1607,https://vancouver.craigslist.org/van/apa/d/vancouver-prosprise-realty-luxury-bed/7606983998.html,"4,800",49.275714,-123.130380
Prosprise Realty-Luxury Condo In Vancouver! Ref# 14031499,https://vancouver.craigslist.org/bnc/apa/d/vancouver-prosprise-realty-luxury-condo/7601156950.html,"5,200",49.290039,-123.129019
Lower Level West Vancouver Ambleside newly renovated House for rent,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-lower-level-west/7609647853.html,"3,600",49.332200,-123.141700
Prosprise Realty-Upper 5 bed 4.5 bath house in Burke Mount Ref: 1318GU,https://vancouver.craigslist.org/pml/apa/d/coquitlam-prosprise-realty-upper-bed-45/7603262861.html,"4,800",49.292974,-122.759880
Prosprise realty- Luxury Furnished Townhouse for rent! Ref:5532O,https://vancouver.craigslist.org/rds/apa/d/vancouver-prosprise-realty-luxury/7603311797.html,"4,800",49.234400,-123.145100
Prosprise Realty- Spacious 1 Bed 1 bath Condo in Surrey Ref:1907-13399,https://vancouver.craigslist.org/rds/apa/d/surrey-inner-northwest-prosprise-realty/7604031110.html,"1,900",49.189400,-122.845400
Downtown Coal Harbour 1B + 1Den (2nd Brd) + Balcony & in-suite storage,https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-coal-harbour-1b-1den/7606566352.html,"3,680",49.287905,-123.123307
Open House at Brand New 55One! Pet friendly 2 bedroom apartments,https://vancouver.craigslist.org/pml/apa/d/coquitlam-open-house-at-brand-new-55one/7609656656.html,"2,995",49.260798,-122.887874
3 Bedroom + 2 Bath + Den in River District! **6 Months Free Parking!**,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bath-den-in-river/7599206918.html,"3,725",49.204643,-123.033791
2 Bed + 2 Bath + Den in River District! **6 months free parking!!**,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-den-in-river/7607627356.html,"2,900",49.205065,-123.036039
"Private balconies, Closet organizers, Shaker cabinets",https://vancouver.craigslist.org/pml/apa/d/port-moody-private-balconies-closet/7609656321.html,"2,850",49.323100,-122.862600
NEW 10ft Ceiling 1 Bed+Den concrete condo at Suter Brook Village,https://vancouver.craigslist.org/pml/apa/d/port-moody-new-10ft-ceiling-bedden/7609646677.html,"2,500",49.280482,-122.829017
A good suite very close to Metrotown,https://vancouver.craigslist.org/bnc/apa/d/burnaby-good-suite-very-close-to/7609649943.html,"1,400",49.224548,-122.982446
2 BEDROOM private entry near Skytrain Langara Oakridge,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-private-entry-near/7608875062.html,"3,000",49.225249,-123.118458
One bedroom and den  over 737sq ft in,https://vancouver.craigslist.org/bnc/apa/d/burnaby-one-bedroom-and-den-over-737sq/7609655096.html,"2,100",49.252567,-122.898619
55One Grand Opening April 15! Pet friendly 1 bedroom apartments,https://vancouver.craigslist.org/pml/apa/d/coquitlam-55one-grand-opening-april-15/7609654884.html,"2,450",49.260898,-122.887895
3 bedroom Rancher for rent,https://vancouver.craigslist.org/rds/apa/d/surrey-bedroom-rancher-for-rent/7609654530.html,"3,000",48.997257,-122.779128
1 bedroom suite ***Furnished***,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-suite-furnished/7604765853.html,"1,395",49.286688,-123.010340
3-4 BED/2 BATH HOUSE IN BELCARRA WITH OWN DOCK & VIEWS,https://vancouver.craigslist.org/pml/apa/d/belcarra-4-bed-bath-house-in-belcarra/7609653205.html,"4,750",49.322520,-122.906474
A/C Conveniently located Apartment at The Holland 13359 Old Yale Rd,https://vancouver.craigslist.org/rds/apa/d/surrey-c-conveniently-located-apartment/7609646563.html,"2,700",49.186862,-122.853498
FURNISHED Spacious UBC Apartment at The Regency 5639 Hampton Pl,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-spacious-ubc/7609652765.html,"4,500",49.259078,-123.233020
Renovated 2 Bedroom Suite - Pet Friendly,https://vancouver.craigslist.org/bnc/apa/d/burnaby-renovated-bedroom-suite-pet/7608710237.html,"2,600",49.274000,-123.007400
North Shore 3 BDRM 2 BATH,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-north-shore-bdrm-bath/7609652459.html,"4,500",49.316000,-123.057600
2 bdrm Ground Lvl suite-Burnaby-3min to bus,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bdrm-ground-lvl-suite-burnaby/7609648573.html,"1,900",49.227635,-122.938989
Brand New A/C 2BR at Brentwood Hillside West 2 4730 Lougheed Hwy,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-c-2br-at-brentwood/7609639196.html,"3,000",49.265508,-122.995591
Georgetown one 1 bed room 1 bath room condo 22th floor,https://vancouver.craigslist.org/rds/apa/d/surrey-inner-northwest-georgetown-one/7609651847.html,"2,000",49.189400,-122.845400
Stunning 2 Bedroom Condo with a Townhouse Feel! Olympic Village,https://vancouver.craigslist.org/van/apa/d/vancouver-stunning-bedroom-condo-with/7609651767.html,"3,495",49.270437,-123.104918
Pet friendly A/C Apartment at Hollybridge Living 6855 Pearson Way,https://vancouver.craigslist.org/rch/apa/d/richmond-pet-friendly-c-apartment-at/7609651023.html,"4,500",49.176035,-123.146793
"###BRAND NEW LUXURY 2 Bed, 2 Bath unit at Etoile###",https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-luxury-bed-bath-unit/7602160987.html,"3,395",49.276900,-122.976100
### Gorgeous 2 bed 2 bath renovated with water views###,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-gorgeous-bed-bath/7604300618.html,"3,795",49.313170,-123.080961
***Luxury 3 Bedrooms Apartment at Marinaside Resort Residence***,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-bedrooms-apartment-at/7602158485.html,"5,995",49.273566,-123.118554
Updated 2bdrm/2.5bth townhouse,https://vancouver.craigslist.org/rds/apa/d/delta-updated-2bdrm-25bth-townhouse/7609650257.html,"2,880",49.034356,-123.066616
A/C Perfectly located Apartment at The Holland 13359 Old Yale Rd,https://vancouver.craigslist.org/rds/apa/d/surrey-c-perfectly-located-apartment-at/7609649822.html,"2,500",49.187027,-122.853327
Kitsilano Two Bedroom rent,https://vancouver.craigslist.org/van/apa/d/vancouver-kitsilano-two-bedroom-rent/7608563367.html,"2,575",49.264600,-123.164800
Prosprise Realty* Luxury 3Bed 1 Den townhouse for rent .REF1715778,https://vancouver.craigslist.org/bnc/apa/d/surrey-northeast-prosprise-realty/7605211111.html,"3,200",49.170700,-122.732600
Beautiful 2 bedrooms 2 bathroom house (not basement),https://vancouver.craigslist.org/rds/apa/d/surrey-beautiful-bedrooms-bathroom/7608709579.html,"2,400",49.190842,-122.740116
Spacious 1+den Apartment at The Met 1 6588 Nelson Ave,https://vancouver.craigslist.org/bnc/apa/d/vancouver-spacious-1den-apartment-at/7609648465.html,"2,600",49.225471,-122.993939
Mint - 1 Bed & Den Condo,https://vancouver.craigslist.org/rds/apa/d/surrey-mint-bed-den-condo/7601834326.html,"2,150",49.037400,-122.829900
2 Bedroom for rent -Kitsilano,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-for-rent-kitsilano/7609648168.html,"2,575",49.264600,-123.164800
Gorgeous Spacious Townhouse at 8598 River District Xing,https://vancouver.craigslist.org/van/apa/d/vancouver-gorgeous-spacious-townhouse/7609644106.html,"4,500",49.205676,-123.030567
Port Coquitlam Well Maintained 3 Bedrooms House for Rent,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-central-port-coquitlam/7609647992.html,"3,600",49.274000,-122.764900
Luxurious Condo at the iconic Shangri-La,https://vancouver.craigslist.org/van/apa/d/vancouver-luxurious-condo-at-the-iconic/7609647845.html,"7,500",49.285493,-123.123932
Centrally located Apartment Unit 901 at Park Residences 7333 Murdoch A,https://vancouver.craigslist.org/rch/apa/d/richmond-centrally-located-apartment/7609647530.html,"2,590",49.167967,-123.141160
bright one bedroom plus den in heart of langley,https://vancouver.craigslist.org/rds/apa/d/langley-bright-one-bedroom-plus-den-in/7609647502.html,"2,000",49.106263,-122.664073
Well Maintained Luxury 2 Bedroom 2 Bath Condo in Okaridge Vancouver!,https://vancouver.craigslist.org/van/apa/d/vancouver-well-maintained-luxury/7609647472.html,"3,800",49.247500,-123.121000
1Br basement suite with private entrance,https://vancouver.craigslist.org/rds/apa/d/surrey-1br-basement-suite-with-private/7609647042.html,"1,100",49.120242,-122.854134
Downtown Coal Harbour 1B + 1Den (2nd Brd) + Balcony & in-suite storage,https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-coal-harbour-1b-1den/7607793699.html,"3,680",49.287905,-123.123307
"1bedroom+1den, partial ground level, BCIT & Deer Lake",https://vancouver.craigslist.org/bnc/apa/d/burnaby-1bedroom1den-partial-ground/7609646506.html,900,49.242935,-122.981758
Apartment Unit for Rent,https://vancouver.craigslist.org/rch/apa/d/richmond-apartment-unit-for-rent/7606484787.html,"2,800",49.168832,-123.136474
"Burquitlam 3br/2ba Condo, Walking distance to Lougheed Mall",https://vancouver.craigslist.org/pml/apa/d/coquitlam-north-burquitlam-3br-2ba/7609646047.html,"3,350",49.265000,-122.871600
