latitude,property_type,room_type,accommodates,bedrooms,beds,bbq,tv,white_goods,bathrooms_type,bathrooms_number,bus_radius,within_radius,average_nearest_price,longitude
49.27251,5,0,2,1.0,1.0,0.0,0.0,1.0,2,1.0,1,1,1336200.0,-123.07118
49.25996,1,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,0,0,2310540.0,-123.16653
49.26105,3,0,4,2.0,3.0,0.0,0.0,1.0,2,1.0,1,0,3123600.0,-123.18639
49.21308,10,2,2,1.0,1.0,0.0,0.0,1.0,1,1.0,1,0,1808800.0,-123.05564
49.28876,5,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,1232400.0,-123.12354
49.27578,5,0,5,2.0,2.0,0.0,1.0,1.0,2,2.0,1,0,757400.0,-123.11512
49.227177315107376,10,2,1,1.0,1.0,1.0,1.0,0.0,1,1.0,1,0,3420800.0,-123.13031708675535
49.25501,3,0,5,2.0,3.0,0.0,1.0,0.0,2,1.0,0,0,1471020.0,-123.04057
49.2353,10,2,2,1.0,1.0,0.0,0.0,1.0,0,1.0,0,0,2295080.0,-123.10943
49.23465,3,0,2,2.0,2.0,0.0,0.0,1.0,2,1.0,0,0,1786240.0,-123.06059
49.27836,5,0,6,1.0,3.0,0.0,1.0,1.0,2,1.0,1,1,1868600.0,-123.12485
49.24122,3,0,5,3.0,3.0,0.0,1.0,1.0,2,2.0,1,0,2340180.0,-123.09628
49.25309,12,2,1,1.0,1.0,0.0,0.0,1.0,0,1.0,0,0,1543240.0,-123.08637
49.27864,5,0,4,1.0,3.0,0.0,1.0,1.0,2,1.0,1,1,747000.0,-123.11727
49.279213,4,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,953600.0,-123.121483
49.26358,10,2,2,1.0,1.0,0.0,0.0,0.0,0,1.0,1,0,1985660.0,-123.06453
49.23656,5,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,1386980.0,-123.02782
49.28258,1,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,0,0,1445660.0,-123.05203
49.21986,3,0,4,1.0,2.0,0.0,1.0,1.0,2,2.0,1,0,1522580.0,-123.08982
49.26564,5,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,0,0,1599440.0,-123.05446
49.28206,0,0,2,1.0,1.0,1.0,1.0,1.0,2,1.0,1,1,2625000.0,-123.08246
49.20942,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,749400.0,-123.1161
49.22626,5,0,3,1.0,2.0,0.0,1.0,0.0,2,1.0,1,0,1635660.0,-123.08721
49.2852,7,0,3,1.0,2.0,0.0,1.0,0.0,2,1.0,0,1,637360.0,-123.13391
49.23448181152344,10,2,1,1.0,1.0,0.0,1.0,0.0,0,1.0,0,0,3103000.0,-123.11304473876952
49.23442,3,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,0,0,1925780.0,-123.05307
49.27827,4,0,3,1.0,2.0,0.0,1.0,1.0,2,1.0,1,1,821000.0,-123.12172
49.23062,1,0,2,1.0,1.0,0.0,1.0,0.0,2,1.0,1,0,1315680.0,-123.03803
49.28763,0,0,6,2.0,3.0,0.0,1.0,1.0,2,2.0,1,1,1351400.0,-123.12287
49.28434,5,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,0,1,599720.0,-123.13376
49.2687,3,0,4,2.0,2.0,1.0,1.0,1.0,2,1.0,0,0,1339600.0,-123.06548
49.277573,5,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,1,1,1393800.0,-123.125824
49.27947,11,2,1,1.0,1.0,0.0,0.0,0.0,0,1.0,0,1,1343600.0,-123.11866
49.22839,1,0,2,1.0,1.0,0.0,1.0,0.0,2,1.0,1,0,1654220.0,-123.06437
49.24824,1,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,1,0,1924260.0,-123.09289
49.27531,5,0,4,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,937600.0,-123.13194
49.24454,10,2,2,1.0,1.0,0.0,1.0,1.0,1,1.0,0,0,1895600.0,-123.08008
49.26463,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,0,1,751200.0,-123.09872
49.24881,10,2,2,1.0,1.0,0.0,1.0,1.0,0,1.0,0,0,1256440.0,-123.04931
49.23165,1,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,1,0,1540000.0,-123.04719
49.23933,1,0,2,1.0,2.0,0.0,1.0,0.0,2,1.0,0,0,4037200.0,-123.19086
49.27804,0,0,6,3.0,3.0,0.0,1.0,0.0,2,2.0,1,1,1728200.0,-123.12408
49.27921,0,0,4,2.0,2.0,1.0,1.0,1.0,2,2.0,1,0,1597600.0,-123.10876
49.27701,5,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,851200.0,-123.124
49.28008,10,2,2,1.0,1.0,1.0,1.0,1.0,1,1.5,1,1,1813580.0,-123.03772
49.23294,1,0,2,1.0,2.0,0.0,1.0,0.0,2,1.0,1,0,1165940.0,-123.07898
49.27549,3,0,4,2.0,2.0,1.0,1.0,1.0,2,1.0,0,1,1406520.0,-123.06406
49.26867,3,0,6,3.0,3.0,0.0,1.0,1.0,2,4.5,1,0,966320.0,-123.16656
49.2747,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,784400.0,-123.11834
49.25377,3,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,0,0,3057760.0,-123.1116
49.27389,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,1515800.0,-123.12902
49.25839,7,0,4,2.0,2.0,1.0,1.0,1.0,2,2.0,0,0,1594000.0,-123.14987
49.25976,3,0,2,1.0,2.0,1.0,1.0,1.0,2,1.0,0,0,1329520.0,-123.06033
49.27866,0,0,5,3.0,4.0,0.0,1.0,1.0,2,2.0,1,0,930000.0,-123.10767
49.23407,10,2,2,1.0,1.0,0.0,0.0,0.0,1,1.0,1,0,1734540.0,-123.06335
49.28096,0,0,3,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,1356200.0,-123.13159
49.28935,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,858160.0,-123.13468
